"status_id","screen_name","text","favorite_count","retweet_count"
1207648139232059392,"LSU_Mellie","#HoldThatTiger #GeauxTigers #ForeverLSU <U+0001F49C><U+0001F49B><U+0001F42F> https://t.co/pdveVdFSWA",0,0
1207648010668331008,"LSU_Mellie","Awesome!! #GeauxTigers #ForeverLSU <U+0001F49C><U+0001F49B><U+0001F42F> https://t.co/R0W6hdlUbn",0,0
1207655430400462848,"LSU_Mellie","May @LSUJesus place his healing hands upon you Clyde! #GeauxTigers #ForeverLSU <U+0001F49C><U+0001F49B><U+0001F42F> https://t.co/t41EZO4fh0",0,0
1207654627719680000,"BarryWixson","I want to thank some really amazing people at #LSU. I have advice for Tiger Fans.
1. Where you focus your thoughts is where you focus your personal energy. 
2.  Feel and give thanks as if you've already won the National Championship.

#GeauxTigers https://t.co/ZfxYketENI",0,0
1207651379633889280,"Emoney73402053","@247Sports Most important recruit in this class!! <U+0001F405>#Geauxtigers",0,0
1207651328643813376,"MegEliz1","Pajama Day! <U+0001F385><U+0001F3FB><U+0001F384> #BBP #GeauxTigers #LifeWithLathan https://t.co/CLHOqrLxHe",4,0
1207648160241389568,"_DHSLadyTigers","<U+0001F6A8>GAMEDAY<U+0001F6A8>
<U+26F9><U+0001F3FB><U+200D><U+2640><U+FE0F>: Doyle Vs. Acadiana 
<U+0001F4C6>: Thursday, December 19, 2019
<U+23F0>: 5:45 P.M.
<U+0001F3DF>: Hanson Memorial School
Please  come out and watch the Lady Tigers as they play their first game of the 76th Hanson Memorial Classic!
#GEAUXTIGERS<U+00A0><U+00A0><U+00A0>   #UNFINISHEDBUSINESS https://t.co/l3yA0ZD7cf",0,0
1207646434297884672,"LSU131","THERE IS NO BETTER FAN BASE THAN LOUISIANA 
WE ARE JUST DIFFERENT HERE
#GeauxTigers #WhoDat",0,0
1207641704859414528,"tommy_j_r","Say it ain<U+0092>t so. #GeauxTigers<U+0001F405>  https://t.co/SOLQ1VCTGG",0,0
1207641285751975936,"Jeff_MireLSU","@qbmjohnson2020 @LSUfootball @ScarboroughMike @Sheadixon @GeauxEdits Congratulations Max!! Can't wait to see you on the field man!! Embrace the grind!! #LSU #GeauxTigers",0,0
1207637304887652352,"ChelleWabrek","Thank You, Joe Burrow! #GeauxTigers  https://t.co/Gse4DcxRVY",0,0
1207636645664739328,"BigRob331","All I want for Christmas is a @CFBPlayoff Championship.   Hold that Tiger!!   #GeauxTigers #DelpitNation #LSU #burreaux @Coach_EdOrgeron",0,0
1207628118007128064,"MellowMike501","CONGRATULATIONS Coach O! The accolades are well earned. Great season for you and Louisiana! #GeauxTigers

https://t.co/n97X4iXoyc",0,0
1207613901925441536,"TerrenceBD","@FQ_LSU welcome aboard and thanks for the follow! Purple and Yellow! #GeauxTigers https://t.co/8ZnFChC2TO",0,0
1207459344482283520,"TerrenceBD","@PatrickLineber1 #GeauxTigers",0,0
1207609782183645184,"HartsWorld","Really annoyed that the impeachment stuff was announced on Early Signing Day... but for lsu fans it was probably best, yesterday was easily the worst day of the calendar year for us. #GeauxTigers",0,0
1207602898391195648,"andremcnab","@Kriss1_ Congrats man. Thank you and best of luck! #GeauxTigers",0,0
1207581096369643520,"jacko_boll","@Realrclark25 always up at the latest hour, ready for that Peach Bowl? #GeauxTigers",0,0
1207569063662239744,"TammyJeffers3","@qbmjohnson2020 @LSUfootball @ScarboroughMike @Sheadixon @GeauxEdits #GeauxTigers  So proud to have you in the Purple and Gold with LSU across your chest!! The best is yet to come!! Congratulations Max!",1,0
1207554570416742400,"BurrowsHeisman","Athens and Louisiana will fight the world together. #GeauxTigers #GeauxBulldogs https://t.co/2hgrUNE3i7",6,2
1207537489121955840,"lsu14powers","https://t.co/bPUzdG9tY0
#LSU #GeauxTigers #14Powers",0,1
1207537371937329152,"lsu14powers","https://t.co/5hsVLtshDP #LSU #GeauxTigers #14Powers",0,1
1207539726858641408,"lsu14powers","https://t.co/xdkgdfAleW #LSU #GeauxTigers #14Powers",0,1
1207531435114082304,"LRJs_","@TannerBreitwis1 @kittywhisperer7 @joelpollak @tribelaw Best of luck to ya. #GeauxTigers",1,0
1207528177070985216,"whodatchacha","Love Y<U+0092>all &amp; Happy Merry Christmas to  some of my favorite people <U+2764><U+FE0F><U+0001F384><U+2764><U+FE0F> May it Full of Blessings Love&amp;Joy<U+0001F384><U+0001F381> #DogsMostWanted #DogPound  #GeauxTigers <U+0001F49C><U+0001F42F><U+0001F9E1> @DogBountyHunter @LelandBChapman @MrsJamieChapman @theRealJaneBond @Fast156 https://t.co/vJfYKcEqZC",5,0
1207526939860389888,"j_samuelson88","Men if y<U+0092>all stick together, work hard, and buy in y<U+0092>all will all be successful and win multiple National Titles welcome aboard!!! #GeauxTigers #OneTeamOneHeartbeat https://t.co/U5OK4RAY82",23,6
1207525342673543168,"Katy_Dash","@CFAPeachBowl look, go ahead and throw one of those fancy Burreaux jerseys in there and I'll pick it up in person lol. just say the word!!!! #OneTeamOneHeartbeat #GeauxTigers #LSU <U+0001F49C><U+0001F49B>",0,0
