"status_id","created_at","screen_name","text","favorite_count","retweet_count","place_full_name","friends_count"
"1208115217143664642",2019-12-20 20:01:28,"UTLONGHORNSNO1","#HookEm #Texas https://t.co/JXOo4SboLE Bevo’s Daily Roundup: Bijan Robinson may define Texas’ future on the gridiron https://t.co/9GFITjosOh",0,0,NA,1075
"1207791118823436288",2019-12-19 22:33:37,"UTLONGHORNSNO1","#HookEm #Texas https://t.co/8rVZygmT1e Texas offers 4-star RB Jahmyr Gibbs https://t.co/fo1yoZF5qc",0,0,NA,1075
"1208113934047358979",2019-12-20 19:56:22,"UTLONGHORNSNO1","#HookEm #Longhorns https://t.co/FlsuDw3KL0 Join Women’s Basketball for Longhorns Kids Clinic on Sunday, Dec. 29",0,0,NA,1075
"1207806224240123904",2019-12-19 23:33:38,"UTLONGHORNSNO1","#HookEm #Texas https://t.co/2pNwrwkdyk Texas flips LB Jaylan Ford from Utah https://t.co/1pHxkRZ24Q",3,0,NA,1075
"1207829565575516160",2019-12-20 01:06:23,"UTLONGHORNSNO1","#HookEm #Texas https://t.co/CpznJpaKKg Heart issue recently hospitalized Texas DE Peter Mpagi https://t.co/LbsjZRwyhX",2,0,NA,1075
"1207797536758599680",2019-12-19 22:59:07,"UTLONGHORNSNO1","#HookEm #Longhorns https://t.co/KVdn0oxADV 'What if' turns into reality for Women's Basketball's Taylor",0,0,NA,1075
"1207821246966255616",2019-12-20 00:33:20,"UTLONGHORNSNO1","#HookEm #Texas https://t.co/OToH0IcQ5B Texas RB Derrian Brown reaches significant milestone in recovery from stroke https://t.co/XderH1rPeS",6,0,NA,1075
"1208152879049138177",2019-12-20 22:31:07,"UTLONGHORNSNO1","#HookEm #Texas https://t.co/i3evvSrai8 Texas 2021 OL target Cullen Montgomery tweets photo of himself in Oklahoma uniform https://t.co/aEofFY8ALA",0,0,NA,1075
"1207715600279191555",2019-12-19 17:33:32,"UTLONGHORNSNO1","#HookEm #Texas https://t.co/JiWR1TV0ND Bevo’s Daily Roundup: Say hello to the Longhorns’ 17th official signee https://t.co/XkM5wBjZlF",1,0,NA,1075
"1208200460458430465",2019-12-21 01:40:11,"Lights2Longhorn","@simplyCoachO Number one is spoken for!! #HookEm LOL!",1,0,NA,328
"1208198649156657152",2019-12-21 01:32:59,"bnich","They think they are funny! #HookEm <U+0001F918><U+0001F3FC> #Hornsgoup @braydenlane11 @DustinStimac https://t.co/xKDH3KSWiq",13,2,"Poteau, OK",363
